IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
LIFE_0000000035,ex - expectation of remaining life at age x,numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2019,TRUE,Sex,Female,FMLE,Age Group,1-4 years,AGE0-4,,,,,,,64.96,,,,,,64.96,,,EN,2020-12-06T00:00:00.000Z
LIFE_0000000035,ex - expectation of life at age x,numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2019,TRUE,Sex,Male,MLE,Age Group,1-4 years,AGE0-4,,,,,,,65.57,,,,,,65.57,,,EN,2020-12-06T00:00:00.000Z
LIFE_0000000035,ex - expectation of life at age x,numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2019,TRUE,Sex,Female,FMLE,Age Group,10-14 years,AGE10-14,,,,,,,57,,,,,,57,,,EN,2020-12-06T00:00:00.000Z
LIFE_0000000035,ex - expectation of life at age x,numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2019,TRUE,Sex,Male,MLE,Age Group,10-14 years,AGE10-14,,,,,,,57.66,,,,,,57.66,,,EN,2020-12-06T00:00:00.000Z
LIFE_0000000035,ex - expectation of life at age x,numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2019,TRUE,Sex,Female,FMLE,Age Group,15-19  years,AGE15-19,,,,,,,52.1,,,,,,52.1,,,EN,2020-12-06T00:00:00.000Z
LIFE_0000000035,ex - expectation of life at age x,numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2019,TRUE,Sex,Male,MLE,Age Group,15-19  years,AGE15-19,,,,,,,52.76,,,,,,52.76,,,EN,2020-12-06T00:00:00.000Z
LIFE_0000000035,ex - expectation of life at age x,numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2019,TRUE,Sex,Female,FMLE,Age Group,20-24 years,AGE20-24,,,,,,,47.39,,,,,,47.39,,,EN,2020-12-06T00:00:00.000Z
LIFE_0000000035,ex - expectation of life at age x,numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2019,TRUE,Sex,Male,MLE,Age Group,20-24 years,AGE20-24,,,,,,,48.13,,,,,,48.13,,,EN,2020-12-06T00:00:00.000Z
LIFE_0000000035,ex - expectation of life at age x,numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2019,TRUE,Sex,Female,FMLE,Age Group,25-29 years,AGE25-29,,,,,,,42.8,,,,,,42.8,,,EN,2020-12-06T00:00:00.000Z
LIFE_0000000035,ex - expectation of life at age x,numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2019,TRUE,Sex,Male,MLE,Age Group,25-29 years,AGE25-29,,,,,,,43.64,,,,,,43.64,,,EN,2020-12-06T00:00:00.000Z
